UX-UI,ciudad,fecha
UX-UI,Madrid,27-03-17
UX-UI,Madrid,19-04-17
UX-UI,Barcelona,17-04-17
UX-UI,Madrid,20-04-17
UX-UI,Barcelona,21-04-17
UX-UI,Madrid,27-04-17
UX-UI,Madrid,16-05-17
UX-UI,Barcelona,19-05-17
UX-UI,Barcelona,30-05-17
UX-UI,En remoto,08-06-17
UX-UI,Madrid,12-06-17
UX-UI,Barcelona,15-06-17
UX-UI,Málaga,15-06-17
UX-UI,Alcobendas,13-06-17
UX-UI,Las Rozas,21-06-17
UX-UI,Tarrasa,26-06-17
UX-UI,Alcobendas,26-06-17
UX-UI,Madrid,03-07-17
UX-UI,Alicante,04-07-17
UX-UI,Barcelona,11-07-17
UX-UI,Barcelona,07-07-17
UX-UI,En remoto,13-07-17
UX-UI,Barcelona,12-07-17
UX-UI,Madrid,18-07-17
UX-UI,Alcobendas,19-07-17
UX-UI,Madrid,18-07-17
UX-UI,Barcelona,21-07-17
UX-UI,En remoto,31-07-17
UX-UI,Madrid,26-07-17
UX-UI,En remoto,25-07-17
UX-UI,Madrid,08-08-17
UX-UI,Ta' Xbiex,10-08-17
UX-UI,Madrid,22-08-17
UX-UI,Madrid,24-08-17
UX-UI,Valencia,01-09-17
UX-UI,Madrid,06-09-17
UX-UI,Sevilla,07-09-17
UX-UI,En remoto,07-09-17
UX-UI,Madrid,14-09-17
UX-UI,Madrid,14-09-17
UX-UI,Barcelona,20-09-17
UX-UI,Barcelona,05-10-17
UX-UI,Madrid,06-10-17
UX-UI,Madrid,18-10-17
UX-UI,Barcelona,19-10-17
UX-UI,Zaragoza,26-10-17
UX-UI,En remoto,24-10-17
UX-UI,Madrid,30-10-17
UX-UI,En remoto,31-10-17
UX-UI,Barcelona,07-11-17
UX-UI,En remoto,17-11-17
UX-UI,Barcelona,29-11-17
UX-UI,Ate,04-12-17
UX-UI,Valladolid,14-12-17
UX-UI,En remoto,18-12-17
UX-UI,Barcelona,19-12-17
UX-UI,Tarrasa,19-12-17
UX-UI,Gerona,21-12-17
UX-UI,Valencia,02-01-18
UX-UI,Madrid,02-01-18
UX-UI,Barcelona,29-12-17
UX-UI,En remoto,03-01-18
UX-UI,Barcelona,09-01-18
UX-UI,Madrid,14-01-18
UX-UI,Barcelona,14-01-18
UX-UI,Barcelona,16-01-18
UX-UI,Sant Cugat del Vallès,24-01-18
UX-UI,Barcelona,26-01-18
UX-UI,Cuart de Poblet,26-01-18
UX-UI,Madrid,29-01-18
UX-UI,Sant Cugat del Vallès,29-01-18
UX-UI,Barcelona,31-01-18
UX-UI,San Sebastián,01-02-18
UX-UI,Madrid,01-02-18
UX-UI,Madrid,01-02-18
UX-UI,Barcelona,02-02-18
UX-UI,Barcelona,07-02-18
UX-UI,Madrid,07-02-18
UX-UI,Alcobendas,07-02-18
