Fecha,total
1-nov-18,0
1-oct-18,0
1-sep-18,0
1-aug-18,0
1-jul-18,0
1-jun-18,1
1-may-18,0
1-apr-18,0
1-mar-18,0
1-feb-18,1
1-jan-18,0
1-dec-17,0
1-nov-17,0
1-oct-17,0
1-sep-17,0
1-aug-17,0
1-jul-17,0
1-jun-17,0
1-may-17,0
1-apr-17,0
1-mar-17,0
1-feb-17,0
1-jan-17,1
1-dec-16,0
1-nov-16,0
1-oct-16,0
1-sep-16,1
1-aug-16,0
1-jul-16,0
1-jun-16,0
1-may-16,0
1-apr-16,0
1-mar-16,1
1-feb-16,2
1-jan-16,0
1-dec-15,0
1-nov-15,1
1-oct-15,0
1-sep-15,1
1-aug-15,0
1-jul-15,0
1-jun-15,1
1-may-15,1
1-apr-15,0
1-mar-15,1
1-feb-15,0
1-jan-15,1
1-dec-14,1
1-nov-14,2
1-oct-14,2
1-sep-14,1
1-aug-14,0
1-jul-14,0
1-jun-14,0
1-may-14,1
1-apr-14,0
1-mar-14,0
1-feb-14,2
1-jan-14,1
1-dec-13,2
1-nov-13,0
1-oct-13,0
1-sep-13,4
1-aug-13,0
1-jul-13,3
1-jun-13,0
1-may-13,0
1-apr-13,0
1-mar-13,0
1-feb-13,1
1-jan-13,1
1-dec-12,2
1-nov-12,1
1-oct-12,1
1-sep-12,1
1-aug-12,1
1-jul-12,1
1-jun-12,2
1-may-12,2
1-apr-12,3
1-mar-12,4
1-feb-12,2
1-jan-12,4
1-dec-11,1
1-nov-11,8
1-oct-11,5
1-sep-11,4
1-aug-11,3
1-jul-11,7
1-jun-11,8
1-may-11,5
1-apr-11,7
1-mar-11,7
1-feb-11,9
1-jan-11,7
1-dec-10,9
1-nov-10,5
1-oct-10,14
1-sep-10,18
1-aug-10,4
1-jul-10,5
1-jun-10,6
1-may-10,9
1-apr-10,10
1-mar-10,8
1-feb-10,8
1-jan-10,6
1-dec-09,6
1-nov-09,7
1-oct-09,3
1-sep-09,5
1-aug-09,3
1-jul-09,7
1-jun-09,5
1-may-09,6
1-apr-09,7
1-mar-09,4
1-feb-09,9
1-jan-09,7
1-dec-08,5
1-nov-08,4
1-oct-08,11
