Fecha,Total
06-may-14,1
25-apr-14,1
06-mar-14,1
05-mar-14,2
12-feb-14,1
03-feb-14,1
28-jan-14,1
13-jan-14,1
09-dec-13,1
06-nov-13,1
05-nov-13,1
04-nov-13,1
28-oct-13,1
23-oct-13,1
10-oct-13,1
13-aug-13,1
11-aug-13,1
23-jul-13,1
09-jul-13,1
11-jun-13,1
17-apr-13,1
05-apr-13,1
08-mar-13,1
05-mar-13,1
30-jan-13,1
24-jan-13,1
23-jan-13,1
03-jan-13,1
05-dec-12,1
08-nov-12,1
30-oct-12,1
05-oct-12,1
28-aug-12,1
18-jun-12,1
12-jun-12,2
04-jun-12,1
29-may-12,2
28-may-12,1
14-may-12,1
10-may-12,1
26-apr-12,1
12-apr-12,1
08-mar-12,1
01-mar-12,1
20-feb-12,1
15-feb-12,1
13-feb-12,1
12-feb-12,1
08-feb-12,1
07-feb-12,1
26-jan-12,1
23-jan-12,1
18-jan-12,1
09-jan-12,1
07-jan-12,1
05-jan-12,1
06-dec-11,1
16-nov-11,2
28-oct-11,1
18-oct-11,1
24-aug-11,1
19-aug-11,1
18-jun-11,1
15-jun-11,1
09-jun-11,1
01-jun-11,1
12-may-11,1
06-may-11,1
08-mar-11,1
23-feb-11,1
17-feb-11,1
13-feb-11,1
27-jan-11,1
26-jan-11,1
25-jan-11,1
20-dec-10,1
02-nov-10,1
30-aug-10,1
19-aug-10,1
10-aug-10,1
23-apr-10,1
04-mar-10,1
04-feb-10,1
17-nov-09,1
15-mar-09,1
14-oct-08,1
