puesto,ciudad,fecha
Diseñador Web Senior experto en UX,Barcelona,01-10-09
Diseñador de Interacción y UX,Barcelona,14-01-10
Excellent UX-Web Designer,En remoto,04-02-10
Experto en UX y Prototipado de wireframes,Madrid,16-03-10
Consultores de UX-Arquitectura de Información,Barcelona,15-03-10
Consultor de UX,Barcelona,05-05-10
Consultor de UX,Madrid,05-05-10
Consultor de UX,Sevilla,04-05-10
Experto en UX,Barcelona,26-05-10
Analista de UX-Arquitecto de contenidos,Madrid,29-07-10
diseñador de interacción ux UX,Madrid,10-08-10
Administradores UNIX (HP-UX),Madrid,20-12-10
Senior UX Designer,Barcelona,26-01-11
Senior UX freelance,Madrid,27-01-11
Diseñador- a diseño gráfico experto en UX,Barcelona,15-02-11
Jr. UX Interaction Designer,Madrid,23-02-11
Diseñador web experto en UX,Barcelona,07-04-11
Consultor de UX Senior,Madrid,04-05-11
Analista de UX-Arquitect@ de contenidos,A Coruña,12-05-11
Experto en UX  35.000 €,Madrid,09-06-11
Diseñador gráfico experto en UX,Madrid,09-06-11
UX Ninja,Barcelona,18-06-11
Arquitecto de Informacion UX y Prototipado WEB,Madrid,15-09-11
Diseñador visual web-UX que sea fino,Madrid,28-10-11
Consultor de UX y accesibilidad web,Madrid,14-11-11
Consultor UX Junior,Madrid,16-11-11
Consultor UX Senior,Madrid,16-11-11
Posicionamiento y UX Web (PUW):,Madrid,04-01-12
Experto en UX,Madrid,18-01-12
Diseñador Ux Senior,Madrid,26-01-12
Consultor experto UX,Barcelona,23-01-12
USER EXPERIENCE (UX) CONSULTANT,Alacant,07-02-12
Diseñadores Web con experiencia de UX,Madrid,07-02-12
UX Designer-HAVAS MEDIA,Madrid,08-02-12
UX DESIGNER AT MULTINATIONAL CONSULTING COMPANY,Alacant,15-02-12
UX Product Manager,Barcelona,13-02-12
Diseño maquetación UX para applicación web y móviles,Madrid,12-02-12
UX Senior User Experience,Barcelona,08-03-12
Diseñador de interacción web (UX web),Cádiz,12-04-12
Programador web senior experto en UX,Barcelona,26-04-12
Diseñadores interacción y visual (UX),Madrid,14-05-12
Consultor UX,Madrid,29-05-12
Diseñador de Interfaz web. UX Web Designer,Cádiz,29-05-12
Consultores UX,Barcelona,11-06-12
UX Designer,Barcelona,18-06-12
DISEÑADOR UX MAQUETADOR,Madrid,30-10-12
Experto en UX y Estructura de la Información (Informa...,Madrid,13-11-12
UX Designer,Barcelona,08-11-12
Consultor UX para Digital Experience,Madrid,05-03-13
Diseñador freelancer website UX,Barcelona,05-04-13
Diseñador de Interacción Senior UX Freelance,Madrid,11-06-13
Designer UX Web developer,Barcelona,13-08-13
UX IA Designer,Madrid,10-10-13
Consultor Externo de UX,Indiferente Online,28-10-13
Experto en UX freelance,Madrid,16-12-13
Diseñador Maquetador UX Web,Madrid,13-01-14
UX IU Designer,Barcelona,13-01-14
Interaction Designer UX,Sant Cugat del Vallès,28-01-14
Consultor UX Maquetación,Barcelona,04-02-14
UX especialistas en Diseño de Interacción,Barcelona,12-02-14
Técnico UX Accesibilidad Junior,Madrid,24-02-14
Design UX,Bilbo,06-03-14
