puesto,ciudad,fecha
SEM Ninja,Madrid,01-feb-18
Ninja FrontEnd: Experto Html5/CSS3/mediaQuery,Las Palmas de Gran Canaria,19-oct-17
Becario ninja Diseño - Prácticas,Barcelona,31-aug-17
Looking for an iOS Ninja,Barcelona,23-jul-15
Programador Ninja,Barcelona,25-sep-14
Senior PHP Ninja Developer,Zaragoza,11-nov-13
Ninja FrontEnd: Experto Html5/CSS3/mediaQuery cinturón negro...,Barcelona,08-nov-13
Front-End Ninja para lanzar una App disruptiva,Barcelona,09-oct-13
Are you a ninja developer?,Barcelona,14-jun-13
front-end developer ninja,Madrid,10-jan-12
Javascript Ninja,Madrid,03-jan-12
web developer php (ninja).,Barcelona,24-nov-11
web developer php (ninja),Barcelona,24-nov-11
Magento Web Ninja,Madrid,26-sep-11
UX Ninja,Barcelona,18-jun-11
