puesto,ciudad,fecha
Director/a de Arte - Prácticas,Barcelona,07-jun-19
Senior UX / UI Designer,Barcelona,07-jun-19
UX Researcher ,Barcelona,07-jun-19
Redactor/ Copy 360º,Barcelona,07-jun-19
Director/a de Arte - Prácticas,Barcelona,07-jun-19
Senior UX / UI Designer,Barcelona,07-jun-19
UX Researcher ,Barcelona,07-jun-19
Redactor/ Copy 360º,Barcelona,07-jun-19
Community Manager,Barcelona,06-jun-19
Marketing Manager,Barcelona,06-jun-19
Marketing Digital Junior,Barcelona,06-jun-19
UX/Product Designer,Barcelona,06-jun-19
Diseñador/a Gráfico/a - Prácticas,Barcelona,06-jun-19
Compositor Supervisor VFX,Barcelona,06-jun-19
Junior Producer,Barcelona,06-jun-19
Diseñador/a Gráfico/a,Barcelona,06-jun-19
Junior Account Executive,Barcelona,06-jun-19
Senior Web UX/UI Designer ,Barcelona,06-jun-19
Account Manager ,Barcelona,06-jun-19
UI & UX Designer,Barcelona,06-jun-19
Digital Account Executive,Barcelona,06-jun-19
Junior Project Manager,Barcelona,06-jun-19
Digital Manager / Responsable Digital ,Barcelona,06-jun-19
Periodista contenidos digitales y SEO - Prácticas,Barcelona,06-jun-19
Junior Traffic Manager,Barcelona,05-jun-19
SEM Specialist & Affiliation,Barcelona,05-jun-19
Periodista ,Barcelona,05-jun-19
Account Executive,Barcelona,05-jun-19
 Diseñador/a Gráfico ,Barcelona,05-jun-19
Web Analyst,Barcelona,05-jun-19
Responsable Departamento Marketing Digital,Barcelona,05-jun-19
Account & Digital Project Manager  ,Barcelona,05-jun-19
Becario en Estrategia - Prácticas ,Barcelona,05-jun-19
Motion Graphics &  Video Editor,Barcelona,05-jun-19
Diseñador/Programador web,Barcelona,04-jun-19
Programador/a PHP Laravel,Barcelona,04-jun-19
Especialista en Marketing,Barcelona,04-jun-19
UX/UI Designer,Barcelona,04-jun-19
Programador Drupal,Barcelona,04-jun-19
Beca Diseño para proyecto I+D - Prácticas ,Barcelona,04-jun-19
Copy / Redactor Creativo,Barcelona,04-jun-19
Senior UX/UI Web Designer,Barcelona,04-jun-19
Diseñador Multimedia - Prácticas ,Barcelona,04-jun-19
Digital Marketing,Barcelona,03-jun-19
Node.js Developer,Barcelona,03-jun-19
Front-end/ maquetador,Barcelona,03-jun-19
 Ecommerce Project Manager,Barcelona,03-jun-19
 Analytics Backend Developer,Barcelona,03-jun-19
Data Management Platform Analyst Junior,Barcelona,03-jun-19
Becario Diseño Gráfico - Prácticas,Barcelona,03-jun-19
Tècnic/a de Comunicació & Audiovisuals,Barcelona,03-jun-19
Community Manager,Barcelona,03-jun-19
Director Arte ,Barcelona,03-jun-19
Copy - Prácticas,Barcelona,03-jun-19
Programador Web - Prácticas ,Barcelona,31-may-19
Diseñador Gráfico Multidisciplinar,Barcelona,31-may-19
Animador - Prácticas,Barcelona,30-may-19
Gestor Multimedia,Barcelona,30-may-19
Técnico informático,Barcelona,30-may-19
Diseñador BTL Junior,Barcelona,30-may-19
UI/UX Visual Designer,Barcelona,30-may-19
Graphic Designer Intern - Prácticas,Barcelona,29-may-19
Senior Architectural Visualiser,Barcelona,29-may-19
Programador/a FileMaker ,Barcelona,29-may-19
Motion Designer ,Barcelona,28-may-19
Programador Full Stack PHP,Barcelona,28-may-19
Programador Full-Stack ,Barcelona,28-may-19
Generalista 3D ,Barcelona,28-may-19
Copywriter creativo & Social Media - Prácticas ,Barcelona,27-may-19
Programmatic & Paid Media Manager,Barcelona,27-may-19
Audiovisual Interaction Designer,Barcelona,27-may-19
Becaria/o Marketing Assistant - Prácticas ,Barcelona,27-may-19
Becario/a Marketing Digital - Prácticas ,Barcelona,27-may-19
Graphic Designer Junior - Prácticas ,Barcelona,27-may-19
Digital Marketing Designer,Barcelona,27-may-19
Diseño Gráfico - Prácticas ,Barcelona,27-may-19
Front-End Developer,Barcelona,24-may-19
UX Designer,Barcelona,24-may-19
Prod & Content Editor - German Native,Barcelona,24-may-19
Diseñador Gráfico,Barcelona,24-may-19
 Programador/a Senior,Barcelona,24-may-19
UI Visual Designer,Barcelona,23-may-19
Profesor Marketing Digital,Barcelona,23-may-19
Performance Media Buyer,Barcelona,23-may-19
Desarrollador Frontend,Barcelona,23-may-19
Diseñador Web ,Barcelona,23-may-19
Full Stack Developer,Barcelona,22-may-19
Especialista en Publicidad Digital,Barcelona,22-may-19
Diseñador Gráfico,Barcelona,22-may-19
Lead Digital Designer,Barcelona,22-may-19
Delegado de Marketing y ventas,Barcelona,22-may-19
Administrativo / Contabilidad,Barcelona,22-may-19
Digital Designer,Barcelona,22-may-19
UX/UI Designer Senior,Barcelona,22-may-19
Visual Designer UX/UI,Barcelona,22-may-19
Content manager especializado/a en sexología,Barcelona,22-may-19
Front End Developer con C#,Barcelona,21-may-19
Programador Web ,Barcelona,21-may-19
Diseño Gráfico - Prácticas ,Barcelona,21-may-19
Copy,Barcelona,21-may-19
Community Manager,Barcelona,21-may-19
Developer web,Barcelona,21-may-19
Becario Fotografía y Edición - Prácticas ,Barcelona,21-may-19
Analista de campañas digitales,Barcelona,20-may-19
Director/a de Arte Junior ,Barcelona,20-may-19
Junior Digital Designer,Barcelona,20-may-19
Data Engineer,Barcelona,20-may-19
Consultor SEO,Barcelona,20-may-19
Social Media Executive - Prácticas,Barcelona,20-may-19
Programador Wordpress,Barcelona,20-may-19
UX/UI Designer,Barcelona,20-may-19
Diseñador Gráfico/Web - Director de Arte,Barcelona,17-may-19
Front End Developer,Barcelona,17-may-19
Gestor eCommerce - Prácticas,Barcelona,17-may-19
Visual Communicator & Designer,Barcelona,17-may-19
Assistant Departamento de Comunicación ,Barcelona,17-may-19
Beca Diseñador/a Industrial (I+D) - Prácticas ,Barcelona,16-may-19
Digital Marketing Manager,Barcelona,16-may-19
Técnico SEO/SEM Junior,Barcelona,16-may-19
Assistant Programmatic PHD - Prácticas ,Barcelona,16-may-19
UX / UI Designer - Prácticas,Barcelona,16-may-19
