Fecha,Total
07-jun-19,6
06-jun-19,4
05-jun-19,2
04-jun-19,1
03-jun-19,3
31-may-19,2
30-may-19,5
29-may-19,2
28-may-19,1
27-may-19,3
24-may-19,4
23-may-19,1
22-may-19,1
20-may-19,1
17-may-19,1
16-may-19,1
15-may-19,1
14-may-19,1
13-may-19,1
10-may-19,2
08-may-19,1
07-may-19,1
03-may-19,1
02-may-19,2
26-apr-19,1
25-apr-19,4
24-apr-19,2
23-apr-19,1
17-apr-19,2
16-apr-19,1
15-apr-19,1
12-apr-19,3
11-apr-19,1
09-apr-19,1
08-apr-19,1
05-apr-19,4
04-apr-19,1
28-mar-19,2
27-mar-19,2
26-mar-19,1
25-mar-19,1
21-mar-19,4
18-mar-19,1
15-mar-19,4
14-mar-19,1
13-mar-19,1
12-mar-19,2
08-mar-19,1
07-mar-19,1
06-mar-19,2
04-mar-19,1
01-mar-19,3
28-feb-19,1
26-feb-19,1
25-feb-19,2
22-feb-19,2
21-feb-19,3
20-feb-19,1
15-feb-19,1
11-feb-19,1
08-feb-19,1
06-feb-19,1
29-jan-19,1
28-jan-19,1
25-jan-19,1
24-jan-19,2
21-jan-19,3
18-jan-19,1
17-jan-19,1
16-jan-19,3
08-jan-19,1
07-jan-19,3
02-jan-19,1
27-dec-18,1
18-dec-18,1
17-dec-18,2
12-dec-18,1
05-dec-18,1
03-dec-18,1
29-nov-18,1
28-nov-18,1
27-nov-18,2
26-nov-18,2
23-nov-18,3
22-nov-18,2
19-nov-18,5
16-nov-18,1
15-nov-18,1
14-nov-18,1
13-nov-18,2
12-nov-18,2
08-nov-18,4
07-nov-18,2
06-nov-18,1
02-nov-18,2
31-oct-18,1
29-oct-18,2
26-oct-18,1
23-oct-18,2
17-oct-18,2
16-oct-18,1
15-oct-18,4
11-oct-18,3
10-oct-18,2
09-oct-18,2
05-oct-18,2
04-oct-18,1
28-sep-18,1
27-sep-18,1
26-sep-18,1
25-sep-18,1
19-sep-18,3
17-sep-18,1
16-sep-18,2
11-sep-18,1
07-sep-18,1
04-sep-18,1
31-aug-18,2
30-aug-18,2
28-aug-18,1
27-aug-18,1
24-aug-18,1
22-aug-18,2
20-aug-18,1
17-aug-18,2
14-aug-18,1
08-aug-18,1
06-aug-18,1
02-aug-18,1
31-jul-18,1
27-jul-18,3
24-jul-18,3
20-jul-18,1
18-jul-18,2
14-jul-18,1
11-jul-18,2
09-jul-18,1
05-jul-18,1
04-jul-18,3
03-jul-18,1
02-jul-18,2
28-jun-18,1
27-jun-18,1
26-jun-18,3
22-jun-18,1
21-jun-18,2
20-jun-18,3
18-jun-18,1
12-jun-18,1
11-jun-18,1
07-jun-18,2
29-may-18,2
25-may-18,1
23-may-18,2
22-may-18,3
18-may-18,2
14-may-18,2
10-may-18,1
09-may-18,2
07-may-18,2
02-may-18,1
30-apr-18,2
27-apr-18,1
26-apr-18,1
25-apr-18,1
24-apr-18,1
19-apr-18,1
17-apr-18,1
16-apr-18,2
13-apr-18,2
12-apr-18,3
11-apr-18,4
10-apr-18,1
09-apr-18,1
05-apr-18,1
03-apr-18,1
28-mar-18,2
26-mar-18,1
14-mar-18,2
13-mar-18,2
09-mar-18,1
06-mar-18,2
05-mar-18,1
01-mar-18,1
26-feb-18,1
22-feb-18,1
19-feb-18,2
08-feb-18,2
06-feb-18,1
05-feb-18,1
02-feb-18,2
01-feb-18,3
25-jan-18,1
24-jan-18,1
16-jan-18,1
15-jan-18,1
14-jan-18,3
11-jan-18,1
10-jan-18,2
05-jan-18,1
03-jan-18,1
29-dec-17,1
12-dec-17,1
01-dec-17,1
28-nov-17,1
22-nov-17,1
21-nov-17,2
20-nov-17,2
17-nov-17,1
16-nov-17,3
12-nov-17,1
30-oct-17,1
26-oct-17,2
23-oct-17,2
18-oct-17,1
17-oct-17,3
16-oct-17,1
10-oct-17,1
09-oct-17,1
06-oct-17,1
04-oct-17,1
03-oct-17,1
25-sep-17,2
21-sep-17,1
20-sep-17,2
19-sep-17,1
14-sep-17,1
13-sep-17,1
11-sep-17,1
07-sep-17,2
06-sep-17,1
01-sep-17,1
16-aug-17,1
11-aug-17,1
09-aug-17,1
04-aug-17,1
02-aug-17,1
01-aug-17,2
20-jul-17,1
17-jul-17,1
13-jul-17,2
12-jul-17,1
06-jul-17,1
30-jun-17,3
29-jun-17,1
28-jun-17,1
26-jun-17,2
13-jun-17,1
31-may-17,1
30-may-17,1
25-may-17,1
23-may-17,2
17-may-17,1
12-may-17,1
08-may-17,3
28-apr-17,1
25-apr-17,1
24-apr-17,1
17-apr-17,1
10-apr-17,1
07-apr-17,1
05-apr-17,1
03-apr-17,1
01-apr-17,1
31-mar-17,5
28-mar-17,1
24-mar-17,1
20-mar-17,1
17-mar-17,1
16-mar-17,1
08-mar-17,1
06-mar-17,2
28-feb-17,1
20-feb-17,1
16-feb-17,1
14-feb-17,1
10-feb-17,1
09-feb-17,1
08-feb-17,1
07-feb-17,2
31-jan-17,1
30-jan-17,1
24-jan-17,1
18-jan-17,1
17-jan-17,1
16-jan-17,1
13-jan-17,3
10-jan-17,1
09-jan-17,1
05-jan-17,2
20-dec-16,1
15-dec-16,1
13-dec-16,1
12-dec-16,2
07-dec-16,1
30-nov-16,1
26-nov-16,1
23-nov-16,2
21-nov-16,1
17-nov-16,1
02-nov-16,1
20-oct-16,2
19-oct-16,1
17-oct-16,1
13-oct-16,3
11-oct-16,3
10-oct-16,1
04-oct-16,1
30-sep-16,1
28-sep-16,1
23-sep-16,3
22-sep-16,1
08-sep-16,1
07-sep-16,1
01-sep-16,1
31-aug-16,1
30-aug-16,1
22-aug-16,2
19-aug-16,1
18-aug-16,1
16-aug-16,1
12-aug-16,1
11-aug-16,1
08-aug-16,1
01-aug-16,1
24-jul-16,1
21-jul-16,1
15-jul-16,1
13-jul-16,1
11-jul-16,1
04-jul-16,1
30-jun-16,2
29-jun-16,1
28-jun-16,1
15-jun-16,1
14-jun-16,1
03-jun-16,1
01-jun-16,1
31-may-16,1
17-may-16,3
09-may-16,1
29-apr-16,1
27-apr-16,1
26-apr-16,2
19-apr-16,4
18-apr-16,2
