puesto,ciudad,fecha
UX,Barcelona,01/10/09
UX,Barcelona,14/01/10
UX,En remoto,04/02/10
UX,Madrid,16/03/10
UX,Barcelona,15/03/10
UX,Barcelona,05/05/10
UX,Madrid,05/05/10
UX,Sevilla,04/05/10
UX,Barcelona,26/05/10
UX,Madrid,29/07/10
UX,Madrid,10/08/10
UX,Madrid,20/12/10
UX,Barcelona,26/01/11
UX,Madrid,27/01/11
UX,Barcelona,15/02/11
UX,Madrid,23/02/11
UX,Barcelona,07/04/11
UX,Madrid,04/05/11
UX,A Coruña,12/05/11
UX,Madrid,09/06/11
UX,Madrid,09/06/11
UX,Barcelona,18/06/11
UX,Madrid,15/09/11
UX,Madrid,28/10/11
UX,Madrid,14/11/11
UX,Madrid,16/11/11
UX,Madrid,16/11/11
UX,Madrid,04/01/12
UX,Madrid,18/01/12
UX,Madrid,26/01/12
UX,Barcelona,23/01/12
UX,Alacant,07/02/12
UX,Madrid,07/02/12
UX,Madrid,08/02/12
UX,Alacant,15/02/12
UX,Barcelona,13/02/12
UX,Madrid,12/02/12
UX,Barcelona,08/03/12
UX,Cádiz,12/04/12
UX,Barcelona,26/04/12
UX,Madrid,14/05/12
UX,Madrid,29/05/12
UX,Cádiz,29/05/12
UX,Barcelona,11/06/12
UX,Barcelona,18/06/12
UX,Madrid,30/10/12
UX,Madrid,13/11/12
UX,Barcelona,08/11/12
UX,Madrid,05/03/13
UX,Barcelona,05/04/13
UX,Madrid,11/06/13
UX,Barcelona,13/08/13
UX,Madrid,10/10/13
UX,Indiferente Online,28/10/13
UX,Madrid,16/12/13
UX,Madrid,13/01/14
UX,Barcelona,13/01/14
UX,Sant Cugat del Vallès,28/01/14
UX,Barcelona,04/02/14
UX,Barcelona,12/02/14
UX,Madrid,24/02/14
UX,Bilbo,06/03/14
UX,Valencia,25/03/14
UX,Madrid,07/04/14
UX,Barcelona,06/05/14
UX,Madrid,03/06/14
UX,Madrid,11/06/14
UX,Sevilla,11/06/14
UX,Madrid,17/06/14
UX,Barcelona,11/08/14
UX,Barcelona,03/09/14
UX,Barcelona,22/09/14
UX,Barcelona,08/10/14
UX,Barcelona,07/10/14
UX,Barcelona,10/10/14
UX,Madrid,08/10/14
UX,El Prat de Llobregat,17/10/14
UX,Sant Cugat del Vallès,05/11/14
UX,Madrid,12/01/15
UX,Madrid,27/01/15
UX,Barcelona,09/02/15
UX,Madrid,11/02/15
UX,Buenos Aires,18/02/15
UX,Madrid,02/03/15
UX,Madrid,10/03/15
UX,Barcelona,17/03/15
