puesto,ciudad,fecha
UI Designer / Interaction Designer,Madrid,04-jun-19
Senior UI Designer ,Madrid,04-jun-19
UI Visual Designer,Barcelona,23-may-19
Trainee UI/Visual Designer - Prácticas ,Madrid,22-may-19
Trainee UI/VISUAL Designer - Prácticas ,Barcelona,07-may-19
UI Visual Designer,Barcelona,03-may-19
Diseñador gráfico + UI - Prácticas,Madrid,02-may-19
UI-Visual Designer - Prácticas ,Madrid,02-apr-19
UI Designer,Madrid,01-apr-19
Diseñador UI - Prácticas ,Barcelona,29-mar-19
UI Designer,Las Rozas,21-mar-19
Diseñador Senior UI,Madrid,15-mar-19
Designer - UI,Bilbao,11-mar-19
Diseño Gráfico / UI,Madrid,18-feb-19
UI Designer ,Reus,12-feb-19
Diseñador UI / Visual designer (Junior/ Mid),Barcelona,31-jan-19
Maquetador UI,Barcelona,30-jan-19
UI Designer ,En remoto,17-jan-19
UI Front-End Designer,Ciudad de México,15-jan-19
UI-Developer,Madrid,24-dec-18
Desarrollador de Front End / UI Developer,Madrid,21-dec-18
UI / Visual Designer - Prácticas,Madrid,18-dec-18
UI Developer,Atarfe,05-dec-18
Senior Product / UI Designer,Barcelona,26-jul-18
Senior Product / UI Designer,Barcelona,26-jul-18
Diseñador/a UI,Sant Cugat del Vallès,29-nov-18
Diseñador Grafico Artista 2D/UI ,Torrejón de la Calzada,23-nov-18
Maquetador/a Web / UI Developer,Barcelona,15-nov-18
UI Designer,Barcelona,14-nov-18
UI Designer,Madrid,14-nov-18
UI Designer,Madrid,12-nov-18
UI / Visual Designer - Prácticas,Madrid,12-nov-18
2D Game Artist/UI Designer ,Alcorcón,31-oct-18
2D Game Artist/UI Designer,Ciudad Real,25-oct-18
Senior UI Designer ,Madrid,25-oct-18
UI Designer Junior,Barcelona,17-oct-18
UI Designer / Illustrator ,En remoto,28-sep-18
Diseñador/a UI,Barcelona,16-sep-18
Programador/a WP / UI,En remoto,12-sep-18
UI/UIX Designer (WEB/APP),San Juan Despí,10-aug-18
UI DEVELOPER,Marbella,09-aug-18
UI Designer,Barcelona,23-jul-18
UI Designer,Barcelona,18-jul-18
UI Designer,Barcelona,18-jul-18
Diseñador plataformas web / app + ux/ui,En remoto,05-jul-18
Diseñador UI & IxD,Las Rozas,14-jun-18
Desarrollador Front End UI con React.js,Madrid,11-jun-18
UI Designer,Barcelona,23-may-18
UI Designer,Madrid,16-apr-18
UI Designer Software/Applications,En remoto,05-apr-18
Diseñador Visual/UI,Madrid,28-feb-18
UI Designer,Madrid,28-feb-18
Senior UI/UIX Designer,Barcelona,28-feb-18
Senior UI Designer,Madrid,27-feb-18
Graphic & UI Designer for Digital Children Content (Senior Le...,En remoto,06-feb-18
Senior UI Designer ,Múnich,01-feb-18
Senior UI Designer,Madrid,04-jan-18
Diseñador UI,Alcorcón,22-nov-17
UI DEVELOPER,Madrid,31-oct-17
UI interaction animator ,Barcelona,04-sep-17
Diseñador web y de UI,Cornellà de Llobregat,31-aug-17
Diseñador UI Junior,Madrid,29-aug-17
Desarrollador Front End UI con EXtT.js,Madrid,09-aug-17
UI Designer Senior,Madrid,01-aug-17
Desarrollador Front End UI,Madrid,21-jul-17
Visual Designer UI,Valladolid,26-may-17
Diseñador/a Visual - Gráfico UI,Madrid,24-may-17
UI Developer (Mobile),Barcelona,08-may-17
Beca diseñador gráfico UI-Front - Prácticas,Torrelodones,26-apr-17
Maquetador Web-UI Developer,Madrid,02-mar-17
UI Designer Junior - Prácticas,Palma de Mallorca,16-feb-17
UI Graphical & Interaction Designer,Barcelona,07-feb-17
UI Designer,Barcelona,24-jan-17
UI Designer Junior,Palma de Mallorca,19-jan-17
Diseñador Visual/UI,Madrid,18-jan-17
UI Designer Intern,Barcelona,22-aug-16
Diseñador/a senior UI/UIX,Barcelona,12-aug-16
UI Designer,Barcelona,28-jul-16
UI Designer,Barcelona,26-jul-16
Senior UI Designer,Barcelona,23-may-16
UI Front-End Developer,Barcelona,07-mar-16
Web UI Designer & Developer,Barcelona,26-feb-16
UI Developer,Madrid,24-feb-16
Diseñador UI Senior,Madrid,14-dec-15
Diseñador Ui - freelance presencial,Gibraltar,28-oct-15
Diseñador UI,Valencia,30-sep-15
Diseñador UI Senior,Madrid,10-sep-15
Experienced UI Artist (within gaming) ,Barcelona,07-may-15
Senior Developer HTML5/SVG/CSS3 UI Designer,Málaga,13-apr-15
Senior UI Artist,Barcelona,24-nov-14
Diseñador UI Senior (zona Valencia),Valencia,04-nov-14
Front-end developer / UI designer,Las Rozas,22-apr-14
Web Designer / UI Designer,Madrid,09-dec-13
UI Designer,Bucarest,01-oct-13
Senior Front-End Developer / UI Designer,Madrid,23-sep-13
UI Graphical &amp; Interaction Designer,Barcelona,08-may-13
Diseñador de Interfaces [UI Designer] ,Gijón,12-apr-13
UI Developer,Barcelona,18-feb-13
Programación UI para una máquina de vending,Barcelona,10-jan-13
Programador UI y Javascript,Málaga,25-oct-12
UI Designer / Frontend Developer,Valencia,30-aug-12
HTML5/JavaScript UI Developer,Barcelona,06-jul-12
WEB &amp; MOBILE UI DEVELOPER,Barcelona,02-jul-12
Ux/UI Designer,Barcelona,05-jan-12
UI Visual Designer - Web/Mobile,Barcelona,28-dec-11
Internship - UI designer/front end developer,Barcelona,04-oct-11
JUNIOR UI designer/front end developer,Barcelona,28-jul-11
JUNIOR  UI designer/front end developer,Berlín,22-jul-11
UI Artist,Madrid,08-jun-11
Fantastic UI Designer,Madrid,02-jun-11
UI Artist,Madrid,18-jul-10
